Actual,Predicted
183.5621795654297,190.3672420276558
182.18771362304688,190.36381187746272
179.87396240234375,190.37798972081256
179.152099609375,190.40029764990902
183.48306274414065,190.35843380360745
183.0677795410156,190.3591547955698
184.1060791015625,190.35957967116727
183.51275634765625,190.3604754950542
183.8390655517578,190.3615395196794
181.57467651367188,190.35982488138407
180.63531494140625,190.35988486346005
186.51870727539065,190.35991959687613
189.4159240722656,190.35996640333607
191.7198486328125,190.360014723167
192.99542236328125,190.3599436946562
192.322998046875,190.35994705028386
191.9967041015625,190.35994901931676
190.26629638671875,190.35995127337247
189.58401489257807,190.35995340652823
185.935302734375,190.35995044044338
182.3360595703125,190.35995060477094
184.7685546875,190.35995070325362
183.7698516845703,190.35995080726772
185.5793609619141,190.35995089982197
187.1812438964844,190.35995077526476
187.29000854492188,190.35995078281363
186.21218872070312,190.35995078745313
186.97454833984372,190.35995079213626
185.29139709472656,190.359950796108
183.20236206054688,190.35995079085708
182.3212127685547,190.35995079119172
182.0340881347656,190.3599507914032
180.49951171875,190.3599507916109
179.75694274902344,190.35995079178014
180.5094146728516,190.3599507915582
182.53903198242188,190.35995079157271
180.7074279785156,190.35995079158218
179.3609161376953,190.3599507915913
180.8163146972656,190.35995079159846
179.6183319091797,190.35995079158906
178.95498657226562,190.35995079158968
177.87582397460938,190.3599507915901
173.361083984375,190.3599507915905
168.43055725097656,190.35995079159082
167.4404754638672,190.35995079159042
167.32167053222656,190.35995079159045
169.03448486328125,190.35995079159048
171.03443908691406,190.3599507915905
171.5096435546875,190.3599507915905
169.43052673339844,190.35995079159048
171.28195190429688,190.35995079159048
170.90570068359375,190.35995079159048
171.9947967529297,190.35995079159048
174.3313751220703,190.35995079159048
176.89561462402344,190.35995079159048
169.6681365966797,190.35995079159048
170.569091796875,190.35995079159048
169.15330505371094,190.35995079159048
168.02462768554688,190.35995079159048
171.5888671875,190.35995079159048
169.77703857421875,190.35995079159048
168.34146118164062,190.35995079159048
167.16326904296875,190.35995079159048
167.9652099609375,190.35995079159048
167.14344787597656,190.35995079159048
167.89588928222656,190.35995079159048
166.77713012695312,190.35995079159048
167.98501586914062,190.35995079159048
166.11378479003906,190.35995079159048
173.3016815185547,190.35995079159048
174.79669189453125,190.35995079159048
170.97500610351562,190.35995079159048
167.69790649414062,190.35995079159048
166.3315887451172,190.35995079159048
165.38113403320312,190.35995079159048
163.36138916015625,190.35995079159048
164.1930389404297,190.35995079159048
165.2425079345703,190.35995079159048
167.34146118164062,190.35995079159048
168.2028350830078,190.35995079159048
167.61868286132812,190.35995079159048
171.7769775390625,190.35995079159048
168.63845825195312,190.35995079159048
167.61868286132812,190.35995079159048
171.3116455078125,190.35995079159048
181.5588531494141,190.35995079159048
179.90545654296875,190.35995079159048
180.58860778808597,190.35995079159048
180.9252166748047,190.35995079159048
182.737060546875,190.35995079159048
181.4779357910156,190.35995079159048
184.6802215576172,190.35995079159048
185.82034301757807,190.35995079159048
188.09068298339844,190.35995079159048
188.20965576171875,190.35995079159048
188.2393798828125,190.35995079159048
189.3993377685547,190.35995079159048
190.6980743408203,190.35995079159048
189.26052856445312,190.35995079159048
185.27505493164065,190.35995079159048
188.3484344482422,190.35995079159048
188.3583831787109,190.35995079159048
188.65576171875,190.35995079159048
189.64718627929688,190.35995079159048
190.59893798828125,190.35995079159048
192.3636779785156,190.35995079159048
192.68089294433597,190.35995079159048
194.1878662109375,190.35995079159048
192.80979919433597,190.35995079159048
195.1990966796875,190.35995079159048
191.46145629882807,190.35995079159048
205.37098693847656,190.35995079159048
211.2401580810547,190.35995079159048
212.40008544921875,190.35995079159048
210.6651153564453,190.35995079159048
214.80923461914065,190.35995079159048
212.4496612548828,190.35995079159048
207.87925720214844,190.35995079159048
205.70806884765625,190.35995079159048
206.35247802734372,190.35995079159048
207.2745056152344,190.35995079159048
211.4185791015625,190.35995079159048
212.2613067626953,190.35995079159048
208.8111724853516,190.35995079159048
214.8885498046875,190.35995079159048
218.37831115722656,190.35995079159048
219.64732360839844,190.35995079159048
224.39617919921875,190.35995079159048
225.8634796142578,190.35995079159048
226.7160797119141,190.35995079159048
230.9791412353516,190.35995079159048
225.61561584472656,190.35995079159048
228.5601043701172,190.35995079159048
232.386962890625,190.35995079159048
232.8033447265625,190.35995079159048
226.9143829345703,190.35995079159048
222.25473022460935,190.35995079159048
222.38360595703125,190.35995079159048
222.03662109375,190.35995079159048
223.0775909423828,190.35995079159048
216.66314697265625,190.35995079159048
215.62217712402344,190.35995079159048
216.088134765625,190.35995079159048
216.36572265625,190.35995079159048
216.92092895507807,190.35995079159048
220.1727600097656,190.35995079159048
216.48472595214844,190.35995079159048
217.9718475341797,190.35995079159048
207.4727783203125,190.35995079159048
205.4502868652344,190.35995079159048
208.01806640625,190.35995079159048
211.47808837890625,190.35995079159048
214.3829040527344,190.35995079159048
215.9114532470703,190.35995079159048
219.6236572265625,190.35995079159048
220.0702667236328,190.35995079159048
223.0479736328125,190.35995079159048
224.3680725097656,190.35995079159048
224.20925903320312,190.35995079159048
224.82464599609372,190.35995079159048
224.7154693603516,190.35995079159048
222.859375,190.35995079159048
225.15219116210935,190.35995079159048
225.4896545410156,190.35995079159048
226.33334350585935,190.35995079159048
224.80479431152344,190.35995079159048
228.0802459716797,190.35995079159048
227.29611206054688,190.35995079159048
221.1124725341797,190.35995079159048
219.206787109375,190.35995079159048
220.72537231445312,190.35995079159048
219.17698669433597,190.35995079159048
219.2663116455078,190.35995079159048
218.4722900390625,190.35995079159048
221.00331115722656,190.35995079159048
221.1124725341797,190.35995079159048
220.844482421875,190.35995079159048
214.71047973632807,190.35995079159048
215.17694091796875,190.35995079159048
219.04795837402344,190.35995079159048
227.16709899902344,190.35995079159048
226.5020904541016,190.35995079159048
224.78494262695312,190.35995079159048
225.67825317382807,190.35995079159048
224.68569946289065,190.35995079159048
225.8271331787109,190.35995079159048
226.0951232910156,190.35995079159048
231.266357421875,190.35995079159048
224.52688598632807,190.35995079159048
225.0926513671875,190.35995079159048
223.9908905029297,190.35995079159048
225.11248779296875,190.35995079159048
